Link,Name,Restaurant ID,Rating,No. of Votes,Address,Cuisine,Cost for Two
https://www.zomato.com/kolkata/master-of-momos-sector-1-salt-lake,Master Of Momos Kolkata,19029298,-,0,"Plot EC 15, Sector 1, Salt Lake, Kolkata",Momos,₹150 
https://www.zomato.com/kolkata/food-connection-ajoy-nagar,Food Connection Kolkata,18510607,3.1,4,"66, Purbachal Main Road, Ajoy Nagar, Kolkata","North Indian, Chinese, Mughlai",₹400 
https://www.zomato.com/kolkata/horn-ok-please-belghoria,Horn OK Please Kolkata,18983192,3,4,"319, Pullin Avenue, Rajbari, Opposite Airport City Hotel, Belghoria Expressway, Belghoria, Kolkata","North Indian, Chinese",₹600 
https://www.zomato.com/kolkata/the-punjabi-brothers-1-kestopur,The Punjabi Brothers Kolkata,18582440,2.7,62,"A22, Prafulla Kanan Road, Prafulla Kanan, Kestopur, Kolkata","North Indian, Chinese, Fast Food",₹400 
https://www.zomato.com/kolkata/food-cave-sector-1-salt-lake,Food Cave Kolkata,18641168,3,16,"BE-95, Sector 1, Salt Lake","Chinese, North Indian, Fast Food",₹300 
https://www.zomato.com/kolkata/majumder-sweets-behala,Majumder Sweets Kolkata,19004891,-,0,"1/1, Ho Chi Minh Sarani, Sakuntala Park, Behala, Kolkata",Mishti,₹100 
https://www.zomato.com/kolkata/alina-biryani-kona-exp-way-howrah,Alina Biryani Howrah,19131008,NEW,0,"Station Road, Nimdighi, Uluberia, Nona, Kona Exp Way, Howrah",Biryani,₹300 
https://www.zomato.com/kolkata/dui-paar-bangla-barasat,Dui Paar Bangla Kolkata,18802580,3.6,115,"125/1, 4th Floor, Suncity Mall, Jessore Road, Chapadali More, Barasat, Kolkata",Bengali,₹600 
https://www.zomato.com/kolkata/silver-sand-sector-1-salt-lake,Silver Sand Kolkata,22168,3.5,239,"DD-30A, Sector 1, Salt Lake","North Indian, Chinese",₹650 
https://www.zomato.com/kolkata/royal-hut-kalyani,Royal Hut Kolkata,19075950,NEW,0,"B16/19, ITI More, Kalyani, Kolkata","North Indian, Chinese, Biryani",₹350 
https://www.zomato.com/kolkata/new-momo-plaza-behala,New Momo Plaza Kolkata,18778239,-,0,"743, Diamond Harbour Road, Behala Chowrasta, Bata Colony, Barisha, Behala, Kolkata","Chinese, Momos",₹300 
https://www.zomato.com/kolkata/grill-n-cafe-new-town,Grill N Cafe Kolkata,18134893,3.5,22,"Hiland Cedar, Action Area 2B, Near Hiland Willows, New Town, Kolkata","Mughlai, North Indian, Sandwich, Cafe",₹400 
